[14,46,55,61,19,38,30,40,67,28,20,60,53,58,5,68,40,25,17,67]
[64,36,20,57,40,36,26,7,11,49,39,47,63,58,52,25,13,53,56,7]
[36,25,23,64,1,27,55,11,44,33,55,47,4,43,30,53,21,21,60,7]
[2,2,70,38,30,35,49,67,15,30,30,40,37,64,8,32,35,66,59,15]
[12,12,21,24,35,38,26,51,63,11,9,8,7,51,21,59,53,50,14,38]
[19,47,30,60,63,47,35,31,60,55,8,23,27,55,7,47,0,31,16,36]
[26,41,68,3,16,33,35,67,47,52,41,19,25,60,65,50,11,31,57,10]
[70,28,39,11,52,58,15,20,6,20,35,33,14,59,37,4,49,58,15,32]
[28,26,65,50,39,24,30,23,50,42,2,17,45,14,17,19,49,12,43,50]
[22,56,21,42,3,58,65,51,56,40,33,28,2,23,58,38,53,55,6,28]
